image_id	upstream_split	label_file	num_person	num_helmet	num_vest
ppe_0001_jpg.rf.9508b03e3510a77a76fd74c9fe7441c9	train	labels/rf100_v2_000001.txt	3	3	1
ppe_0002_jpg.rf.f918598dffa5f596fd6fe09a8db7208b	train	labels/rf100_v2_000002.txt	2	2	2
ppe_0003_jpg.rf.3a8e6c142c380ed094fdea05449ed25c	train	labels/rf100_v2_000003.txt	1	1	1
ppe_0005_jpg.rf.4324f7bc923365326b5be6d0922c8ff3	train	labels/rf100_v2_000004.txt	1	1	1
ppe_0007_jpg.rf.9f6161d58cfa51eebe4e5933a1f9833e	train	labels/rf100_v2_000005.txt	1	1	0
ppe_0010_jpg.rf.b140c7b9a124aba7d7d3dde7f5a0ab91	train	labels/rf100_v2_000006.txt	1	1	0
ppe_0011_jpg.rf.e3fe7f6dd93530827c3d1d6fd7d132d1	train	labels/rf100_v2_000007.txt	2	2	0
ppe_0012_jpg.rf.2d2d2459c9fa20da94a846722217c6bd	train	labels/rf100_v2_000008.txt	1	1	1
ppe_0015_jpg.rf.998d6126b64e4094348dd76ad5c74cf9	train	labels/rf100_v2_000009.txt	1	1	0
ppe_0016_jpg.rf.e1ec9b331b486d4b8b0f92af1ec9db1c	train	labels/rf100_v2_000010.txt	7	7	5
ppe_0017_jpg.rf.414e829c7cca18f3fa313e7deb6bc5bd	train	labels/rf100_v2_000011.txt	1	1	1
ppe_0018_jpg.rf.21cafe92f0d5b38f5ac1da18164c6e82	train	labels/rf100_v2_000012.txt	2	2	0
ppe_0019_jpg.rf.9bcc85da030b1da80447efad78e35e29	train	labels/rf100_v2_000013.txt	2	2	0
ppe_0020_jpg.rf.4c688c240a097123603b579c20258f81	train	labels/rf100_v2_000014.txt	1	1	1
ppe_0022_jpg.rf.af27b20bf838721a49ca6e1a654a7945	train	labels/rf100_v2_000015.txt	1	1	0
ppe_0023_jpg.rf.9d635fa1ef3039cf98b05874a9871afd	train	labels/rf100_v2_000016.txt	6	6	5
ppe_0025_jpg.rf.c4daac47608b52a33c93f942f35b719b	train	labels/rf100_v2_000017.txt	4	4	4
ppe_0026_jpg.rf.338ee2d183f0da32495a2879bfc7af55	train	labels/rf100_v2_000018.txt	1	1	1
ppe_0027_jpg.rf.f00d865b886638e65d22e96579ea5551	train	labels/rf100_v2_000019.txt	3	3	3
ppe_0028_jpg.rf.e6d2d554e843b070013d5a6faeaefc63	train	labels/rf100_v2_000020.txt	2	2	0
ppe_0029_jpg.rf.82c2e47f47d81b61f6f5665f4d20c347	train	labels/rf100_v2_000021.txt	1	1	1
ppe_0030_jpg.rf.9981884b148ffbfd982f2ad6dc13ed69	train	labels/rf100_v2_000022.txt	1	1	0
ppe_0031_jpg.rf.919d2f81449ce8119aea410409421bef	train	labels/rf100_v2_000023.txt	1	1	1
ppe_0033_jpg.rf.aa804ba8d4e735d5d7464cf310b7f7f2	train	labels/rf100_v2_000024.txt	5	5	4
ppe_0034_jpg.rf.4af17b6abaafa130030fdb3999441303	train	labels/rf100_v2_000025.txt	9	9	9
ppe_0035_jpg.rf.d1f7381490413ae8f4c6bc7e82269731	train	labels/rf100_v2_000026.txt	2	1	1
ppe_0037_jpg.rf.d20a96d575260d228855b417afd383d3	train	labels/rf100_v2_000027.txt	5	2	2
ppe_0039_jpg.rf.506b4b071e107fb4ebbbeb8866681287	train	labels/rf100_v2_000028.txt	1	1	0
ppe_0040_jpg.rf.2e8b51bf9c330fc30af598bb44845221	train	labels/rf100_v2_000029.txt	1	1	0
ppe_0041_jpg.rf.cc41f41f16c1f0e48f1a9127b71d637d	train	labels/rf100_v2_000030.txt	3	0	0
ppe_0044_jpg.rf.1bc8927eda6559e366174a7328e72c69	train	labels/rf100_v2_000031.txt	2	2	1
ppe_0045_jpg.rf.319fa83fcf057d6d7acb87b2ff595276	train	labels/rf100_v2_000032.txt	2	2	0
ppe_0046_jpg.rf.0388d8102c520a591e1124323eadaf6b	train	labels/rf100_v2_000033.txt	1	1	0
ppe_0047_jpg.rf.2b70c01bc4e188941996e8770543dbbe	train	labels/rf100_v2_000034.txt	1	1	0
ppe_0048_jpg.rf.8c96499598e730484a564b4751ade4ed	train	labels/rf100_v2_000035.txt	8	9	9
ppe_0049_jpg.rf.f7f867ee9d3062401785d526fad26958	train	labels/rf100_v2_000036.txt	2	2	2
ppe_0050_jpg.rf.96ce5404b83a96c3e64e03802105491a	train	labels/rf100_v2_000037.txt	1	1	1
ppe_0051_jpg.rf.75ebff13e6ad7387f712192ef4d87f7a	train	labels/rf100_v2_000038.txt	1	1	1
ppe_0052_jpg.rf.4e2c526a4483c257492a46b6e99eba59	train	labels/rf100_v2_000039.txt	2	2	2
ppe_0053_jpg.rf.0df457e1449bdc99d7d79b8ed4f58de3	train	labels/rf100_v2_000040.txt	1	1	1
ppe_0054_jpg.rf.0452464f9b688195cf4e230af80df9d1	train	labels/rf100_v2_000041.txt	1	1	0
ppe_0055_jpg.rf.055195d79a1dd5aa8e902bdc7011c193	train	labels/rf100_v2_000042.txt	1	1	0
ppe_0057_jpg.rf.7c89bf9f3e58700ce12a87dd1a53096e	train	labels/rf100_v2_000043.txt	3	3	3
ppe_0059_jpg.rf.4443c45b73c51f59d16e9a4f05b22f2f	train	labels/rf100_v2_000044.txt	2	2	0
ppe_0060_jpg.rf.d4f4f625cf44bf755297faa7878c7f5d	train	labels/rf100_v2_000045.txt	1	1	0
ppe_0061_jpg.rf.53f6bb37685a6737143456810d168cae	train	labels/rf100_v2_000046.txt	1	1	0
ppe_0063_jpg.rf.3d814107f7a5dd649b1205880eae0ad7	train	labels/rf100_v2_000047.txt	3	2	3
ppe_0064_jpg.rf.19ae591c338dfc2d6d4369bf26edf06d	train	labels/rf100_v2_000048.txt	1	1	1
ppe_0065_jpg.rf.c6b7e3e0fda08e62df1e59ce9ca3ab53	train	labels/rf100_v2_000049.txt	1	1	0
ppe_0066_jpg.rf.8010d5f2391db3be9d08d70d4b470dc9	train	labels/rf100_v2_000050.txt	4	3	4
ppe_0067_jpg.rf.4c05f30a3e02833451675882223239cf	train	labels/rf100_v2_000051.txt	1	1	0
ppe_0068_jpg.rf.c18bb1f00766fb368950436778d6e102	train	labels/rf100_v2_000052.txt	3	3	3
ppe_0070_jpg.rf.432f99ab20003f1fd68f63d55bc3e674	train	labels/rf100_v2_000053.txt	1	1	1
ppe_0071_jpg.rf.b17920c080d6e3e36e9e383d0a4b1918	train	labels/rf100_v2_000054.txt	1	1	0
ppe_0074_jpg.rf.c1f8257e71cd7e19f5d865796f54fb97	train	labels/rf100_v2_000055.txt	3	3	0
ppe_0075_jpg.rf.27dcaaeb0734b24a00ea73d2e9dc7c97	train	labels/rf100_v2_000056.txt	1	1	1
ppe_0076_jpg.rf.6acb880aeccccbf09cc291c6f3cba677	train	labels/rf100_v2_000057.txt	4	4	4
ppe_0077_jpg.rf.be0bc7b34b8f03928205d317e47429cd	train	labels/rf100_v2_000058.txt	1	1	0
ppe_0080_jpg.rf.dec81bfeb4877d31fd806239fde26f04	train	labels/rf100_v2_000059.txt	2	2	1
ppe_0081_jpg.rf.284aad3321c0c70175446ba9c5b16657	train	labels/rf100_v2_000060.txt	1	1	1
ppe_0083_jpg.rf.90be02c438e2d42ccbbe440c6a01ae43	train	labels/rf100_v2_000061.txt	1	1	1
ppe_0085_jpg.rf.fd56923e54e577ffd32e9119e94c85d4	train	labels/rf100_v2_000062.txt	2	0	0
ppe_0086_jpg.rf.67c66362efee76c9b5bef813d282f9ca	train	labels/rf100_v2_000063.txt	3	3	3
ppe_0088_jpg.rf.6e8580470f94b8980fb05c88f29c8f5e	train	labels/rf100_v2_000064.txt	1	1	1
ppe_0091_jpg.rf.109a07f951366869b3c4a42360d8e599	train	labels/rf100_v2_000065.txt	1	1	0
ppe_0092_jpg.rf.0a0aa29447fe037a361a6360c772bc0a	train	labels/rf100_v2_000066.txt	1	1	0
ppe_0093_jpg.rf.1a53c61cfc303c9fad2d235456a62a81	train	labels/rf100_v2_000067.txt	1	1	0
ppe_0095_jpg.rf.26f3fc5ac1d79842247e4688243513ab	train	labels/rf100_v2_000068.txt	1	1	1
ppe_0096_jpg.rf.e36a0ed11050585a831ec36fc697dbf3	train	labels/rf100_v2_000069.txt	1	1	0
ppe_0098_jpg.rf.8640e3379a63b53d9df0d5c11b009921	train	labels/rf100_v2_000070.txt	2	2	2
ppe_0099_jpg.rf.351844d1c8102588616d99a7a281f9f6	train	labels/rf100_v2_000071.txt	1	1	1
ppe_0100_jpg.rf.563213e93976baa36684c19fe3ebf559	train	labels/rf100_v2_000072.txt	7	6	5
ppe_0103_jpg.rf.9572393de727c4134fc3a588e469837a	train	labels/rf100_v2_000073.txt	2	2	0
ppe_0105_jpg.rf.449b9e94afaca7cec771b107fae91e15	train	labels/rf100_v2_000074.txt	3	6	1
ppe_0107_jpg.rf.a2bb8a06caa43555220b3bd8dabc5997	train	labels/rf100_v2_000075.txt	1	1	0
ppe_0108_jpg.rf.98a6136e18952ecbd38a67075841a3da	train	labels/rf100_v2_000076.txt	1	1	1
ppe_0109_jpg.rf.935e38cd069901f4b6a637c36e0600ec	train	labels/rf100_v2_000077.txt	3	3	0
ppe_0110_jpg.rf.db495548067171842116cf1866317b0b	train	labels/rf100_v2_000078.txt	1	1	0
ppe_0111_jpg.rf.4b07f18282e508a99c3c48f618f12aa0	train	labels/rf100_v2_000079.txt	4	0	0
ppe_0112_jpg.rf.5d0d495c5b6938e762845d060502e1ed	train	labels/rf100_v2_000080.txt	1	1	0
ppe_0113_jpg.rf.7c6c9d2bd3bcd1e0260489ad2c5b3308	train	labels/rf100_v2_000081.txt	1	1	0
ppe_0114_jpg.rf.de2f4d813d8dab4e16746890b45c872c	train	labels/rf100_v2_000082.txt	1	1	1
ppe_0115_jpg.rf.9d7fed0793f7d94b97e5f28d3396ca8e	train	labels/rf100_v2_000083.txt	1	1	1
ppe_0116_jpg.rf.5895020ff4137d8190ed1b5fcb04ca1e	train	labels/rf100_v2_000084.txt	1	1	1
ppe_0117_jpg.rf.b4cfcecae02e25795f85a4d143274583	train	labels/rf100_v2_000085.txt	4	4	0
ppe_0118_jpg.rf.bff68c4111fbfd71077d531328cc3477	train	labels/rf100_v2_000086.txt	1	1	1
ppe_0121_jpg.rf.059833e695e787beb35e6c65ed3a508f	train	labels/rf100_v2_000087.txt	1	1	1
ppe_0123_jpg.rf.5d061be7ef0cfe23cff8e691def41a86	train	labels/rf100_v2_000088.txt	1	1	0
ppe_0124_jpg.rf.a36c9e6afeed1fca0a2613834bc5dead	train	labels/rf100_v2_000089.txt	2	2	0
ppe_0125_jpg.rf.b143a8aac09cafb767922e64ec64801c	train	labels/rf100_v2_000090.txt	1	1	0
ppe_0127_jpg.rf.cad6b7e9ea2419271008d42a15984368	train	labels/rf100_v2_000091.txt	1	1	0
ppe_0128_jpg.rf.ef752667360906f0304ca0d5548dc9ce	train	labels/rf100_v2_000092.txt	4	4	0
ppe_0130_jpg.rf.1e958d8ad6d8f22c9873f2e1fe3d58af	train	labels/rf100_v2_000093.txt	4	3	0
ppe_0131_jpg.rf.a30f3407743547b2e5fae2291dbaad64	train	labels/rf100_v2_000094.txt	11	12	1
ppe_0134_jpg.rf.c1bb449db483071e49b6cddadf46cda0	train	labels/rf100_v2_000095.txt	1	1	0
ppe_0135_jpg.rf.10fd6ba2e6fe0738e1c816c722ffa1dd	train	labels/rf100_v2_000096.txt	4	4	4
ppe_0136_jpg.rf.3fc0bedd93df9438f92d3c5625e05a40	train	labels/rf100_v2_000097.txt	1	1	0
ppe_0137_jpg.rf.8eeb8d75319324b2c37d774819cd61ab	train	labels/rf100_v2_000098.txt	1	1	1
ppe_0138_jpg.rf.363238730e1e0c3fdbfa12798a60d815	train	labels/rf100_v2_000099.txt	1	1	1
ppe_0140_jpg.rf.df038e835cedd24695ed18e5bcccf6d4	train	labels/rf100_v2_000100.txt	1	1	1
ppe_0141_jpg.rf.e3cd284e46b3d584b95adf227bfda474	train	labels/rf100_v2_000101.txt	1	1	0
ppe_0143_jpg.rf.a0ff7c611a5ba9a4c07ed24fe15d8de7	train	labels/rf100_v2_000102.txt	1	1	1
ppe_0144_jpg.rf.f48717cf302ac2188633487fc34b227c	train	labels/rf100_v2_000103.txt	1	1	0
ppe_0146_jpg.rf.dbf71077befd49ca7e5d10309c884858	train	labels/rf100_v2_000104.txt	2	1	1
ppe_0148_jpg.rf.f5f440f1dd402a7ae1951e4856fad632	train	labels/rf100_v2_000105.txt	11	11	6
ppe_0149_jpg.rf.4e8aaa7318dd29714e01029a0c226d9c	train	labels/rf100_v2_000106.txt	6	7	6
ppe_0150_jpg.rf.86c3ac6458011fb68d7ef90b846a74af	train	labels/rf100_v2_000107.txt	4	4	4
ppe_0151_jpg.rf.5a4756ba26f59a1f22fe52e4793bcfa0	train	labels/rf100_v2_000108.txt	1	1	0
ppe_0152_jpg.rf.a7b00167c57afeef152d6718ddc3c9d2	train	labels/rf100_v2_000109.txt	1	1	0
ppe_0153_jpg.rf.b1df7cc65a59f2560b10274456d60e40	train	labels/rf100_v2_000110.txt	2	2	2
ppe_0154_jpg.rf.53e1191ad8a059f2efc30b6994104829	train	labels/rf100_v2_000111.txt	3	3	3
ppe_0155_jpg.rf.f789ad153b16bcbdee2af23a1129878a	train	labels/rf100_v2_000112.txt	2	2	2
ppe_0157_jpg.rf.b3b238ee4daa3cb485fbf6afe90ab787	train	labels/rf100_v2_000113.txt	1	2	1
ppe_0159_jpg.rf.bcfb4c697c9789fdac57f602c8280d9d	train	labels/rf100_v2_000114.txt	2	1	1
ppe_0160_jpg.rf.22c02d645292d2e161deb685408d754b	train	labels/rf100_v2_000115.txt	1	1	1
ppe_0161_jpg.rf.8617c5bccfe83051e2a3b92cf8a3df25	train	labels/rf100_v2_000116.txt	5	5	0
ppe_0163_jpg.rf.b29f291098face170e4fd9b22184e247	train	labels/rf100_v2_000117.txt	1	1	0
ppe_0165_jpg.rf.8e7c1a0af33054428a10654c3aa91430	train	labels/rf100_v2_000118.txt	1	1	1
ppe_0168_jpg.rf.7477e8d2c1529c8f608e321c7498041c	train	labels/rf100_v2_000119.txt	2	2	1
ppe_0169_jpg.rf.914af56c343e7afaca0f492d7bdb8bd5	train	labels/rf100_v2_000120.txt	0	1	0
ppe_0172_jpg.rf.f17060c6fee5700cb42a1ff21652b15e	train	labels/rf100_v2_000121.txt	3	3	3
ppe_0173_jpg.rf.132fecb7d02eec47fb6f236dee5bbca6	train	labels/rf100_v2_000122.txt	1	1	0
ppe_0174_jpg.rf.8361157e117bd6d7342934665c5dec78	train	labels/rf100_v2_000123.txt	1	1	1
ppe_0176_jpg.rf.fcfd2d24ed461d12d38eb6e9a4e38fbb	train	labels/rf100_v2_000124.txt	3	3	3
ppe_0177_jpg.rf.d804cbc8a6778e8558020805d837b00b	train	labels/rf100_v2_000125.txt	1	1	0
ppe_0178_jpg.rf.79ba5130178489ddad3d17b5b6b72900	train	labels/rf100_v2_000126.txt	2	2	2
ppe_0179_jpg.rf.7922b2fe4a32cdb506dc6fef29630e6a	train	labels/rf100_v2_000127.txt	1	1	1
ppe_0180_jpg.rf.c06e5fb615af18b58b1d39493fdeae94	train	labels/rf100_v2_000128.txt	1	1	0
ppe_0181_jpg.rf.d7f14e7873d319523a886e23e6bb660d	train	labels/rf100_v2_000129.txt	1	1	1
ppe_0183_jpg.rf.064a1d5ba0c5ff6ec53f88076adc4b20	train	labels/rf100_v2_000130.txt	7	7	7
ppe_0185_jpg.rf.31bf0c88435dbc7b7b5f72da1c8b8dd2	train	labels/rf100_v2_000131.txt	4	4	4
ppe_0187_jpg.rf.6f1308f5dac0331ce8296dba804475a5	train	labels/rf100_v2_000132.txt	7	7	7
ppe_0188_jpg.rf.55e3016d451dd25e304056c6515cfa74	train	labels/rf100_v2_000133.txt	1	1	1
ppe_0189_jpg.rf.81046ebc0e4a9f3c887a19913da0b999	train	labels/rf100_v2_000134.txt	1	1	0
