evaluation	model	metric	mean	sd_sample	min	max
fold_validation	YOLOv8n	P	0.9105829301123914	0.008400024377497208	0.9002131372230192	0.9194897496364788
fold_validation	YOLOv8n	R	0.8618302562678157	0.011658573142769219	0.845092439980717	0.8747349446984413
fold_validation	YOLOv8n	mAP50	0.9177343483347927	0.003565939078388862	0.9115589468075784	0.9202102671828708
fold_validation	YOLOv8n	mAP50_95	0.5221577537229385	0.004862806949554734	0.5163164882306226	0.52922712535661
fold_validation	SMFR-YOLO	P	0.9070645203887219	0.009888060203145156	0.8906237101695643	0.9149741580991885
fold_validation	SMFR-YOLO	R	0.8654033945354829	0.009560773510424067	0.852046624686031	0.8757564921616713
fold_validation	SMFR-YOLO	mAP50	0.9177038200348774	0.0049517203771027645	0.9142257559115169	0.9258216739802022
fold_validation	SMFR-YOLO	mAP50_95	0.5211276730467764	0.00546859144195324	0.5143773062779897	0.5285081845284146
common_test110	YOLOv8n	P	0.8936752547425564	0.013056138891821284	0.8751607970426215	0.9060994091366087
common_test110	YOLOv8n	R	0.8113932892614226	0.010068940888298098	0.8005288421441419	0.8207387357593751
common_test110	YOLOv8n	mAP50	0.871631613642961	0.0026168024444666164	0.8684991717025351	0.8753165761075933
common_test110	YOLOv8n	mAP50_95	0.4537772871039649	0.0006656877390847659	0.45279480763349866	0.4544156460887074
common_test110	SMFR-YOLO	P	0.895523308490815	0.011711507888716447	0.8814181564932011	0.9115173434529228
common_test110	SMFR-YOLO	R	0.8164824152913958	0.01028750980969281	0.8022107745233716	0.8273433198094281
common_test110	SMFR-YOLO	mAP50	0.8834690855048747	0.009895112388568363	0.8660324327395604	0.8902510070152404
common_test110	SMFR-YOLO	mAP50_95	0.45897922087120846	0.004259121725247539	0.4529646646298013	0.46469304711464365
