evaluation	fold	model	precision	recall	map50	map50_95
fold_validation	1	YOLOv8n	0.9167367338903641	0.845092439980717	0.9115589468075784	0.5163164882306226
common_test110	1	YOLOv8n	0.8989135078668249	0.8005348041348993	0.8705774076874713	0.45279480763349866
fold_validation	1	SMFR-YOLO	0.9066352922613508	0.852046624686031	0.9142257559115169	0.5143773062779897
common_test110	1	SMFR-YOLO	0.9021825740990493	0.8256093106321964	0.8902510070152404	0.46469304711464365
fold_validation	2	YOLOv8n	0.9194897496364788	0.8564260712148065	0.9195838449686189	0.52922712535661
common_test110	2	YOLOv8n	0.8751607970426215	0.8207387357593751	0.8730576765347839	0.4543598691052201
fold_validation	2	SMFR-YOLO	0.9145366851438915	0.8726978432973603	0.9258216739802022	0.5285081845284146
common_test110	2	SMFR-YOLO	0.9115173434529228	0.8146379923049677	0.8881113566980684	0.457576414518923
fold_validation	3	YOLOv8n	0.9002131372230192	0.8747349446984413	0.9195155147908358	0.5241667582306798
common_test110	3	YOLOv8n	0.8852439663532419	0.8192632407919181	0.8707072361824215	0.4544156460887074
fold_validation	3	SMFR-YOLO	0.8906237101695643	0.8757564921616713	0.9148211949431291	0.5241317587312437
common_test110	3	SMFR-YOLO	0.88870051291592	0.8273433198094281	0.8854762765298974	0.4602302951008535
fold_validation	4	YOLOv8n	0.9034153601154502	0.869993954497205	0.9178031679240597	0.519759574746075
common_test110	4	YOLOv8n	0.9060994091366087	0.8005288421441419	0.8684991717025351	0.4537844660475692
fold_validation	4	SMFR-YOLO	0.9085527562696142	0.860289061604341	0.9145637873957094	0.517904460038172
common_test110	4	SMFR-YOLO	0.8814181564932011	0.8022107745233716	0.8660324327395604	0.4529646646298013
fold_validation	5	YOLOv8n	0.9130596696966449	0.8629038709479087	0.9202102671828708	0.5213188220507048
common_test110	5	YOLOv8n	0.9029585933134848	0.8159008234767788	0.8753165761075933	0.45353164664482937
fold_validation	5	SMFR-YOLO	0.9149741580991885	0.8662269509280108	0.9190866879438292	0.5207166556580621
common_test110	5	SMFR-YOLO	0.8937979554929815	0.8126106791870149	0.887474354541607	0.45943168299182097
