model	mode	class	P	R	mAP50	mAP50_95
V8_BiFPNF	learned_weight	all	0.9040564818157062	0.8447311764693065	0.9016499512340949	0.4968707904598134
V8_BiFPNF	learned_weight	person	0.8911619057367716	0.9216867469879518	0.9518887281657494	0.5848630839497024
V8_BiFPNF	learned_weight	helmet	0.9055576670965865	0.8309278350515464	0.8768780651437089	0.44746945088990453
V8_BiFPNF	learned_weight	vest	0.9154498726137605	0.781578947368421	0.8761830603928261	0.4582798365398335
V8_BiFPNF	equal_weight	all	0.870586731989441	0.8031092268378076	0.8764440266072926	0.480534420685593
V8_BiFPNF	equal_weight	person	0.8577108180906865	0.9116465863453815	0.9410455022568306	0.5663507605646866
V8_BiFPNF	equal_weight	helmet	0.8709753993712535	0.8020618556701031	0.858193590051149	0.43600978527480533
V8_BiFPNF	equal_weight	vest	0.8830739785063833	0.6956192384979383	0.8300929875138982	0.43924271621728705
SMFR-YOLO	learned_weight	all	0.9136838466307889	0.8443496182321244	0.9053099893533393	0.5028518966723383
SMFR-YOLO	learned_weight	person	0.903676947154469	0.9042640864198398	0.9466242219490134	0.5914628483752964
SMFR-YOLO	learned_weight	helmet	0.9297185324168328	0.8182584524870599	0.8906393644041599	0.44879039286268824
SMFR-YOLO	learned_weight	vest	0.907656060321065	0.8105263157894737	0.878666381706845	0.4683024487790301
SMFR-YOLO	equal_weight	all	0.8805675178388296	0.7905417802322444	0.8714373754985535	0.4743485749042815
SMFR-YOLO	equal_weight	person	0.858747188565442	0.8815261044176707	0.9308908423597652	0.581413724204265
SMFR-YOLO	equal_weight	helmet	0.9074483198474897	0.7479939731211681	0.8574225192052607	0.4233693759360329
SMFR-YOLO	equal_weight	vest	0.8755070451035569	0.7421052631578947	0.8259987649306346	0.4182626245725471
