model	node_order	fusion_layer	fusion_module_name	fusion_from_raw	fusion_target_shape	fusion_target_stride	fusion_target_p_level	branch_index	source_layer	source_class	source_type	source_from_raw	source_parent_layers	source_parent_classes	source_parent_p_levels	source_parent_shapes	source_output_shape	hook_input_shape	source_channels	source_stride	source_p_level	internal_resize_needed	semantic_role	raw_weight	normalized_weight	uniform_reference	delta_from_uniform	relative_delta_vs_uniform_pct	rank_desc	mapping_verified_by_hook
SMFR-YOLO	1	14	model.14	[-1, 11]	1x64x40x40	16	P4	1	13	Upsample	torch.nn.modules.upsampling.Upsample	-1	12	Conv	P5	1x64x20x20	1x64x40x40	1x64x40x40	64	16	P4	False	top-down upsample: L12(P5) -> L13(P4)	1.0078125	0.5369120836257935	0.5	0.03691208362579346	7.382416725158691	1	True
SMFR-YOLO	1	14	model.14	[-1, 11]	1x64x40x40	16	P4	2	11	Conv	ultralytics.nn.modules.conv.Conv	6	6	SMIC2f	P4	1x128x40x40	1x64x40x40	1x64x40x40	64	16	P4	False	backbone lateral projection: L6(P4) -> L11(P4)	0.869140625	0.46303462982177734	0.5	-0.036965370178222656	-7.393074035644531	2	True
SMFR-YOLO	2	17	model.17	[-1, 10]	1x64x80x80	8	P3	1	16	Upsample	torch.nn.modules.upsampling.Upsample	-1	15	C2f	P4	1x64x40x40	1x64x80x80	1x64x80x80	64	8	P3	False	top-down upsample: L15(P4) -> L16(P3)	1.09765625	0.5926387310028076	0.5	0.09263873100280762	18.527746200561523	1	True
SMFR-YOLO	2	17	model.17	[-1, 10]	1x64x80x80	8	P3	2	10	Conv	ultralytics.nn.modules.conv.Conv	4	4	SMIC2f	P3	1x64x80x80	1x64x80x80	1x64x80x80	64	8	P3	False	backbone lateral projection: L4(P3) -> L10(P3)	0.75439453125	0.40730729699134827	0.5	-0.09269270300865173	-18.538540601730347	2	True
SMFR-YOLO	3	20	model.20	[-1, 10, 18]	1x64x80x80	8	P3	1	19	Conv	ultralytics.nn.modules.conv.Conv	2	2	SMIC2f	P2	1x32x160x160	1x64x80x80	1x64x80x80	64	8	P3	False	shallow/backbone downsample injection: L2(P2) -> L19(P3)	0.74658203125	0.2867482006549835	0.3333333333333333	-0.046585132678349794	-13.975539803504939	2	True
SMFR-YOLO	3	20	model.20	[-1, 10, 18]	1x64x80x80	8	P3	2	10	Conv	ultralytics.nn.modules.conv.Conv	4	4	SMIC2f	P3	1x64x80x80	1x64x80x80	1x64x80x80	64	8	P3	False	backbone lateral projection: L4(P3) -> L10(P3)	0.50244140625	0.19297833740711212	0.3333333333333333	-0.1403549959262212	-42.106498777866356	3	True
SMFR-YOLO	3	20	model.20	[-1, 10, 18]	1x64x80x80	8	P3	3	18	C2f	ultralytics.nn.modules.block.C2f	-1	17	BiFPNF	P3	1x64x80x80	1x64x80x80	1x64x80x80	64	8	P3	False	processed fusion feature at P3; nearest BiFPN ancestor=L17	1.3544921875	0.5202351212501526	0.3333333333333333	0.18690178791681927	56.07053637504579	1	True
SMFR-YOLO	4	23	model.23	[-1, 11, 15]	1x64x40x40	16	P4	1	22	Conv	ultralytics.nn.modules.conv.Conv	-1	21	C2f	P3	1x64x80x80	1x64x40x40	1x64x40x40	64	16	P4	False	bottom-up downsample from fused path: L21(P3) -> L22(P4); nearest BiFPN ancestor=L20	1.1162109375	0.42370960116386414	0.3333333333333333	0.09037626783053082	27.112880349159248	1	True
SMFR-YOLO	4	23	model.23	[-1, 11, 15]	1x64x40x40	16	P4	2	11	Conv	ultralytics.nn.modules.conv.Conv	6	6	SMIC2f	P4	1x128x40x40	1x64x40x40	1x64x40x40	64	16	P4	False	backbone lateral projection: L6(P4) -> L11(P4)	0.47412109375	0.17997464537620544	0.3333333333333333	-0.15335868795712787	-46.00760638713836	3	True
SMFR-YOLO	4	23	model.23	[-1, 11, 15]	1x64x40x40	16	P4	3	15	C2f	ultralytics.nn.modules.block.C2f	-1	14	BiFPNF	P4	1x64x40x40	1x64x40x40	1x64x40x40	64	16	P4	False	processed fusion feature at P4; nearest BiFPN ancestor=L14	1.0439453125	0.39627784490585327	0.3333333333333333	0.06294451157251996	18.88335347175599	2	True
SMFR-YOLO	5	26	model.26	[-1, 12]	1x64x20x20	32	P5	1	25	Conv	ultralytics.nn.modules.conv.Conv	-1	24	C2f	P4	1x64x40x40	1x64x20x20	1x64x20x20	64	32	P5	False	bottom-up downsample from fused path: L24(P4) -> L25(P5); nearest BiFPN ancestor=L23	1.025390625	0.5646368265151978	0.5	0.06463682651519775	12.92736530303955	1	True
SMFR-YOLO	5	26	model.26	[-1, 12]	1x64x20x20	32	P5	2	12	Conv	ultralytics.nn.modules.conv.Conv	9	9	SPPF	P5	1x256x20x20	1x64x20x20	1x64x20x20	64	32	P5	False	backbone lateral projection: L9(P5) -> L12(P5)	0.79052734375	0.4353080987930298	0.5	-0.06469190120697021	-12.938380241394043	2	True
