module_order	branch_index	isolated_module_name	full_model_module_name	isolated_normalized_weight	full_model_normalized_weight	full_model_minus_single	isolated_rank	full_model_rank	rank_preserved
1	1	model.14	model.14	0.513940691947937	0.5369120836257935	0.022971391677856445	1	1	True
1	2	model.14	model.14	0.48600631952285767	0.46303462982177734	-0.022971689701080322	2	2	True
2	1	model.17	model.17	0.5949345827102661	0.5926387310028076	-0.002295851707458496	1	1	True
2	2	model.17	model.17	0.4050111472606659	0.40730729699134827	0.002296149730682373	2	2	True
3	1	model.20	model.20	0.2665195167064667	0.2867482006549835	0.020228683948516846	2	2	True
3	2	model.20	model.20	0.21385063230991364	0.19297833740711212	-0.020872294902801514	3	3	True
3	3	model.20	model.20	0.5195916295051575	0.5202351212501526	0.0006434917449951172	1	1	True
4	1	model.23	model.23	0.4042362570762634	0.42370960116386414	0.019473344087600708	1	1	True
4	2	model.23	model.23	0.20138515532016754	0.17997464537620544	-0.021410509943962097	3	3	True
4	3	model.23	model.23	0.3943410813808441	0.39627784490585327	0.0019367635250091553	2	2	True
5	1	model.26	model.26	0.5872475504875183	0.5646368265151978	-0.022610723972320557	1	1	True
5	2	model.26	model.26	0.4126970171928406	0.4353080987930298	0.02261108160018921	2	2	True
