level	group_type	group_value	n_objects	uncertainty_mean	distance_shift_mean	logit_correction_mean	pearson_u_vs_distance_shift	pearson_u_vs_logit_correction
P3	overall	all	1363	0.43788375299333737	0.017601586184761625	0.05497669164017553	0.6787157672048197	-0.9006544070257849
P4	overall	all	1363	0.70004258852012	0.00660566711061725	0.009051920561685677	-0.07326971799241244	-0.7088489749532263
P5	overall	all	1363	0.8997475791528482	0.0011461037780385074	0.0008898909197601278	-0.6455734835582075	-0.9440942506756943
P3	class	helmet	485	0.3873478365005906	0.016729669261378113	0.05672232837790681	0.7921501709387517	-0.8109590952186948
P3	class	person	498	0.495891442200745	0.018330715338598532	0.049697423548284304	0.6055659995073563	-0.9584469580964003
P3	class	vest	380	0.426362937924109	0.017758884577472742	0.05966732767165491	0.6380812165976724	-0.9340004660504536
P4	class	helmet	485	0.7064632185341156	0.006778142845123699	0.008384916125844742	-0.02429256680000257	-0.6789082862948201
P4	class	person	498	0.7211503272195418	0.0068070670944193465	0.009074183799004758	-0.22564702266812234	-0.7698515521121215
P4	class	vest	380	0.6641855900224887	0.006121593628593378	0.009874052296417128	-0.0693278174583718	-0.6954336690419535
P5	class	helmet	485	0.9384777220254091	0.0012230860556658241	0.0007377254928776648	-0.6739904930966205	-0.8769724647664551
P5	class	person	498	0.8883863791643855	0.001129681806699055	0.0009276543804219957	-0.8604956990656393	-0.9700331206180354
P5	class	vest	380	0.8652048378398544	0.0010693715071906091	0.0010346120477295604	-0.7853251201533306	-0.9623480687902156
P3	size	large	373	0.7137400869070365	0.02081473687059438	0.030355438300415913	-0.44437298838819467	-0.9544830738387854
P3	size	medium	302	0.45062350289316366	0.02119605787505476	0.05966025621735102	0.7606974757275423	-0.8563695020616161
P3	size	small	688	0.2827357631393297	0.014281766916906764	0.06626926575852342	0.5758872927881947	-0.3150214202955253
P4	size	large	373	0.6886164501269445	0.008807889188342695	0.012912621016267077	-0.20602143892068403	-0.9093728126675901
P4	size	medium	302	0.624441249382417	0.006619017645223251	0.011016390157635293	-0.42495449968044485	-0.8710534053522857
P4	size	small	688	0.7394227542762839	0.0054058695867181174	0.006096526539104796	0.22612208179394974	-0.6574430534478769
P5	size	large	373	0.7377859660032288	0.001671566335476895	0.0019381945811857498	-0.28637555862906255	-0.9103142472640229
P5	size	medium	302	0.9190424641236564	0.0013753612312204543	0.0008141901516081883	-0.3644443339141357	-0.8229295601082534
P5	size	small	688	0.979085698983697	0.0007605902827107943	0.0003547809870132221	-0.44355550468826704	-0.7497907360411804
