level	quartile	u_low	u_high	n	uncertainty_mean	distance_shift_mean	logit_correction_mean
P3	Q1	0.16836273670196533	0.27844445407390594	341	0.24867718114006904	0.012862977904985902	0.06897342306646434
P3	Q2	0.27844445407390594	0.3339523673057556	340	0.3040147000375916	0.015414596209302545	0.06627303094548338
P3	Q3	0.3339523673057556	0.6160895526409149	341	0.46596943038649574	0.021378848830079577	0.05617935158028281
P3	Q4	0.6160895526409149	0.8702510595321655	341	0.7324811225412878	0.02074350833433989	0.028514088063208588
P4	Q1	0.2879442572593689	0.6114852428436279	341	0.5246180463746146	0.00674886691050817	0.013948912494692984
P4	Q2	0.6114852428436279	0.6993439197540283	340	0.6567242007045185	0.006863883092506405	0.00972905846668736
P4	Q3	0.6993439197540283	0.7986082434654236	341	0.7451992398482963	0.006542402703336869	0.007683785820019341
P4	Q4	0.7986082434654236	0.9866900444030762	341	0.873501833757697	0.006268272967735999	0.00484791120699992
P5	Q1	0.35887739062309265	0.8321743607521057	341	0.6935845666791687	0.0017447510558041223	0.0021999797519553135
P5	Q2	0.8321743607521057	0.9718338251113892	340	0.9278571128845214	0.0012673828891231953	0.0007133660956991234
P5	Q3	0.9718338251113892	0.9909645318984985	339	0.9830891108442549	0.0008451582763995151	0.00037716077512733165
P5	Q4	0.9909645318984985	0.9972975254058838	343	0.9944751783988218	0.000728164727218536	0.0002691727490099853
