level	group_type	group_value	n_objects	uncertainty_mean	distance_shift_mean	logit_correction_mean	pearson_u_vs_distance_shift	pearson_u_vs_logit_correction
P3	overall	all	1363	0.4382906558097327	0.016651280900437496	0.04913254576698984	0.4129262351996184	-0.8694748946101968
P4	overall	all	1363	0.8084162403272516	0.006469534722861293	0.007828137122288685	-0.4160190882128039	-0.9057846006972508
P5	overall	all	1363	0.898558469572578	0.0010063537506436004	0.0007915692867160968	-0.6985964569045363	-0.9746591104311314
P3	class	helmet	485	0.38749564376074014	0.015491280882360087	0.04998868636057242	0.6520206958639091	-0.7224365169109055
P3	class	person	498	0.49589954831274635	0.017361468536382818	0.04433469235126573	0.03519720118063292	-0.9493312053505301
P3	class	vest	380	0.4276231620656817	0.017201087653244795	0.0543275531699979	0.35350773947840125	-0.9304386209221537
P4	class	helmet	485	0.832551075994354	0.006506352929264	0.00672101696098665	-0.23570858934703076	-0.8149013049112993
P4	class	person	498	0.8029347956779013	0.006526395894519715	0.008049705004072693	-0.5228888614601918	-0.9242474620271225
P4	class	vest	380	0.7847961459504931	0.006348025002884433	0.008950801525191452	-0.5533273903445632	-0.9310244366417791
P5	class	helmet	485	0.9396671504089513	0.0009581965047472454	0.0005799105024858158	-0.6503414503614277	-0.9227253248885049
P5	class	person	498	0.8853961615916716	0.0010325714263957027	0.0008573775062158453	-0.8289714222539377	-0.9795945952093055
P5	class	vest	380	0.8633403621221843	0.0010334586499467198	0.0009754693315603379	-0.7669659119655279	-0.9835330139017066
P3	size	large	373	0.7024583543273782	0.0175522176558826	0.026754956844764644	-0.1728210103179692	-0.899549411755974
P3	size	medium	302	0.45636252792465765	0.02011046957668682	0.05431462941530919	0.4697845368084276	-0.8570349102388247
P3	size	small	688	0.28713911958038807	0.014644414054495174	0.05898988792716071	0.39576976270840825	-0.3873649301793263
P4	size	large	373	0.7095138792537812	0.007820784887074226	0.01296213555996164	-0.438131660264921	-0.9036331186243
P4	size	medium	302	0.7364075891426857	0.006411536612905661	0.009457946450461862	-0.3418663204806101	-0.9174278072226454
P4	size	small	688	0.8936447190164134	0.005762411347796145	0.0043293234095556745	-0.08132383729009111	-0.7566917880339414
P5	size	large	373	0.7806904323139395	0.0014845956686195035	0.0015735557117051852	-0.4249833820169783	-0.9640639906917695
P5	size	medium	302	0.9318309050324737	0.0010193056088297116	0.0005891964855081161	-0.5044128180330087	-0.9518073102106956
P5	size	small	688	0.9478557114164496	0.0007413890753860172	0.0004564466841635971	-0.6133313117886736	-0.9487232623394601
