level	quartile	u_low	u_high	n	uncertainty_mean	distance_shift_mean	logit_correction_mean
P3	Q1	0.1868327409029007	0.28118783235549927	341	0.25103358552952315	0.013126316667422434	0.06180299914652301
P3	Q2	0.28118783235549927	0.3364064395427704	340	0.30608539677718105	0.016293908425552003	0.059725108666016775
P3	Q3	0.3364064395427704	0.6229000389575958	341	0.47633522058512107	0.019617860688885286	0.04953474090967185
P3	Q4	0.6229000389575958	0.8558251857757568	341	0.7193207216402653	0.01756598980676743	0.02549839758005572
P4	Q1	0.32307562232017517	0.7253072559833527	341	0.6068697255377895	0.007639391035049105	0.015280591614839356
P4	Q2	0.7253072559833527	0.8389543294906616	340	0.7849942554445828	0.006958877158296459	0.008402386523427114
P4	Q3	0.8389543294906616	0.9246216714382172	341	0.8819199047130574	0.005487908874133115	0.004759705447266834
P4	Q4	0.9246216714382172	0.9881710410118103	341	0.9598123894409001	0.005793396845771289	0.002871548919460553
P5	Q1	0.3444248139858246	0.8604966104030609	341	0.7408832741622701	0.001505893768805497	0.001765073371793026
P5	Q2	0.8604966104030609	0.9391051530838013	340	0.9055495584712309	0.0011077069590101018	0.0006971129772650516
P5	Q3	0.9391051530838013	0.977207362651825	340	0.9603337771752302	0.000822394093419836	0.00043508786569445337
P5	Q4	0.977207362651825	0.9989680647850037	342	0.9874083725681082	0.0005903977460186378	0.0002692123725332935
