module	recursion	group_type	group_value	n_objects	n_images	delta_TBR_object_mean	delta_TBR_object_median	delta_TBR_positive_rate	delta_TBR_image_cluster_mean	delta_TBR_image_bootstrap_ci95_low	delta_TBR_image_bootstrap_ci95_high
model.2	1	overall	all	1363	139	0.0003895882130584487	0.00032314387904741615	0.6595744680851063	0.0006969858861314774	0.0005811385796303082	0.0008139633335614299
model.4	1	overall	all	1363	139	0.000578241911469137	0.0004823373406981357	0.7622890682318415	0.00023697763784739085	0.00014563832470944116	0.0003270134299700355
model.4	2	overall	all	1363	139	0.00030831305647914883	0.00023652832161058512	0.6478356566397653	-1.508989111750832e-05	-9.717534206096864e-05	6.479873968276996e-05
model.6	1	overall	all	1363	139	0.0004563670065665661	0.0003389144228025387	0.6089508437270726	-0.00012918543479679856	-0.00022054331301237873	-3.317962443120709e-05
model.6	2	overall	all	1363	139	0.0004760018873670066	0.00046013761495711236	0.6214233308877476	-0.00013971054139453083	-0.00023729118645549304	-3.737035448257577e-05
model.2	1	class	helmet	485	137	-9.326996822810886e-06	-0.00010019557422991099	0.44948453608247424	0.0005112822561134419	0.0003538785621238602	0.0006726098616486759
model.2	1	class	person	498	137	0.0004010570472493223	0.00029098072069466685	0.7068273092369478	0.0006075643344251472	0.0005034515205643508	0.0007180754163002889
model.2	1	class	vest	380	93	0.000883699785072543	0.0007198582322746061	0.8657894736842106	0.0010512877465243722	0.0008666871514019299	0.001240520177745279
model.4	1	class	helmet	485	137	0.0008840357533535415	0.0009238585194397686	0.7711340206185567	0.0002444172384421587	9.801767748780878e-05	0.00039420700739562116
model.4	1	class	person	498	137	0.00028718244105572214	0.00025867067841411906	0.7228915662650602	0.00017369209668397637	0.00011461522403459848	0.00023341720065348946
model.4	1	class	vest	380	93	0.0005693934981847802	0.0005306912951580367	0.8026315789473685	0.00043040624295693873	0.000312557889640736	0.0005504063027091266
model.4	2	class	helmet	485	137	0.0005960346381646422	0.0006473597348255478	0.709278350515464	2.089099159043835e-05	-0.00010910226634988196	0.00015206773276825068
model.4	2	class	person	498	137	6.975313884300841e-05	7.505373096583501e-05	0.572289156626506	-6.7725461542843e-05	-0.00012537566165940657	-1.1719328370653037e-05
model.4	2	class	vest	380	93	0.00025372850875634277	0.0002522439884770078	0.6684210526315789	9.347456451241365e-05	-1.0852111760607047e-05	0.000192093699289083
model.6	1	class	helmet	485	137	0.0004956966744673717	0.0003654559906316468	0.6082474226804123	-0.00014743066560214275	-0.00026676531894783594	-2.3641322685421355e-05
model.6	1	class	person	498	137	0.00014665976485786725	0.00012948038850535415	0.5341365461847389	-0.00019044437915172324	-0.00025461825064577233	-0.00012237052269935318
model.6	1	class	vest	380	93	0.0008120494208798325	0.0009450237030200204	0.7078947368421052	0.00011636920842753152	-3.0026698870430795e-05	0.00027592477350491575
model.6	2	class	helmet	485	137	0.0005901991360470858	0.000504973499160899	0.6721649484536083	-6.463980177350467e-05	-0.000185915094412959	5.453571470901751e-05
model.6	2	class	person	498	137	0.00018929610482402084	0.00019969856267093578	0.5461847389558233	-0.00020153414083862696	-0.00027694698849198637	-0.00012405619570410648
model.6	2	class	vest	380	93	0.0007059856086737657	0.000919269850484572	0.6552631578947369	-8.107995022819948e-05	-0.00025060931751395653	0.00010264387786830507
model.2	1	size	large	373	116	0.0009390683412459098	0.0007330038213517742	0.8981233243967829	0.0008403709672108757	0.0007152632265802631	0.0009699500254438741
model.2	1	size	medium	302	88	0.000528356337726435	0.0002760726969559535	0.7019867549668874	0.000505218150655304	0.0003516619850017096	0.0006713629664041998
model.2	1	size	small	688	41	3.077417023336895e-05	1.7192217000916443e-05	0.5116279069767442	0.00016967898651222736	1.4740818306068788e-05	0.00034786672859213325
model.4	1	size	large	373	116	0.0001589984832696775	0.00015225375649174921	0.6273458445040214	0.00012753491059291002	5.292917534023547e-05	0.00020434486669071013
model.4	1	size	medium	302	88	0.00032865043170790515	0.00028154968863747243	0.6986754966887417	0.0001445254174973806	-7.206923268896917e-07	0.0002888324601767084
model.4	1	size	small	688	41	0.0009150942742689777	0.0008205682157299554	0.8633720930232558	0.0009008159366768878	0.0007373641411657731	0.001064679481684017
model.4	2	size	large	373	116	-0.00010213123598427585	-9.061153059541915e-05	0.40214477211796246	-0.00011313592687959779	-0.0001821855992972647	-4.6902815865701156e-05
model.4	2	size	medium	302	88	5.008763454880054e-05	0.0001081156738304001	0.5761589403973509	-0.0001220997104764549	-0.00024594061644608514	-9.830120425974837e-07
model.4	2	size	small	688	41	0.0006441848566416816	0.0005957569676606767	0.8125	0.0005105528003877118	0.00036680813697511944	0.0006495031219774584
model.6	1	size	large	373	116	-0.00036664515027072986	-0.00035570344872182247	0.0777479892761394	-0.0003566593408793152	-0.000402613934572532	-0.00031157949386492447
model.6	1	size	medium	302	88	1.6519600318875894e-05	7.419667255859075e-05	0.5298013245033113	-0.0001619908914829467	-0.00027115260566154873	-5.5413028652683565e-05
model.6	1	size	small	688	41	0.001095636557710627	0.0010976768353208044	0.9316860465116279	0.0006538418865584433	0.0004389305078760269	0.0008491296923072341
model.6	2	size	large	373	116	-0.0004676337627590285	-0.0004069350976148023	0.04825737265415549	-0.0004349879355055932	-0.00048523264844394176	-0.00038509568900958556
model.6	2	size	medium	302	88	7.934592614689021e-05	9.576021925161715e-05	0.5496688741721855	-7.334170401128724e-05	-0.00018110672463811055	3.830437714478889e-05
model.6	2	size	small	688	41	0.0011617085701947482	0.0011064459144494165	0.9636627906976745	0.000759790353736292	0.0005795498437873476	0.0009197314750346
