module	recursion	class	n_objects	delta_source_cos_mean	delta_source_cos_median	positive_rate
model.2	1	helmet	485	0.0020158336334621784	0.002021610736846924	1.0
model.2	1	person	498	0.0020425367546847545	0.002044498920440674	1.0
model.2	1	vest	380	0.002047165600877059	0.002040863037109375	1.0
model.4	1	helmet	485	0.0022880382144574037	0.002326786518096924	1.0
model.4	1	person	498	0.0024607740492227086	0.002455085515975952	1.0
model.4	1	vest	380	0.00239371751484118	0.002397775650024414	1.0
model.4	2	helmet	485	0.0021647957796903	0.0021510720252990723	1.0
model.4	2	person	498	0.002251609441745712	0.0022599995136260986	1.0
model.4	2	vest	380	0.002267407272991381	0.002254694700241089	1.0
model.6	1	helmet	485	0.0025890829636878573	0.0026647448539733887	1.0
model.6	1	person	498	0.002927598584607902	0.002956002950668335	1.0
model.6	1	vest	380	0.0027713165471428317	0.0028130412101745605	1.0
model.6	2	helmet	485	0.0024432924604907477	0.0024333596229553223	1.0
model.6	2	person	498	0.0026669732657781087	0.002659827470779419	1.0
model.6	2	vest	380	0.0026327946468403464	0.002630680799484253	1.0
