module	recursion	group_type	group_value	n_objects	n_images	delta_TBR_object_mean	delta_TBR_object_median	delta_TBR_positive_rate	delta_TBR_image_cluster_mean	delta_TBR_image_bootstrap_ci95_low	delta_TBR_image_bootstrap_ci95_high
model.2	1	overall	all	1363	139	0.00047150042563030934	0.00036911855595844756	0.7028613352898019	0.0006731328637131507	0.0005538572908929771	0.0007928511864956145
model.4	1	overall	all	1363	139	0.0011289009601963094	0.0009689238302625913	0.9046221570066031	0.0007802234924462804	0.0006725415997541495	0.0008864757175917056
model.4	2	overall	all	1363	139	0.000590287421486956	0.00047270169077195945	0.7857666911225238	0.0002190019480700453	0.0001300906898687169	0.0003045047882972693
model.6	1	overall	all	1363	139	0.0007743043818191944	0.0005942891205086287	0.8231841526045488	0.00026887316809648745	0.00017712986566647502	0.00036288230003902653
model.6	2	overall	all	1363	139	0.0005245957167989405	0.00042408835155538505	0.7087307410124725	1.933125485048333e-05	-7.747886700040932e-05	0.00011673327984635603
model.2	1	class	helmet	485	137	0.00018399107941798943	6.903830777016395e-05	0.5257731958762887	0.0005391964184598545	0.00038320679084279986	0.0007003396014693297
model.2	1	class	person	498	137	0.00042294253951850083	0.0003309488842434538	0.7670682730923695	0.0005387968869998668	0.0004358213150751653	0.0006479395756849178
model.2	1	class	vest	380	93	0.0009020895314109825	0.0007492871428937953	0.8447368421052631	0.001040960194912917	0.0008529607039002926	0.001226339929604513
model.4	1	class	helmet	485	137	0.0013777147888357003	0.001316255742620065	0.9030927835051547	0.0008397276189826327	0.0006994509396379906	0.000986748624301798
model.4	1	class	person	498	137	0.000842098749791938	0.0007624141002454676	0.9076305220883534	0.0006267949770136948	0.0005373159806651927	0.0007156825885546878
model.4	1	class	vest	380	93	0.0011871977862259726	0.0011326268464720846	0.9026315789473685	0.0010187480046408002	0.0008760402885497077	0.0011631898535104969
model.4	2	class	helmet	485	137	0.0007173266245075871	0.0007341639368325659	0.7443298969072165	0.0001420279998653146	6.859391908492622e-06	0.0002750005657274829
model.4	2	class	person	498	137	0.00036513500022923156	0.0003194102252869202	0.7610441767068273	0.00016792064592166975	0.00010211833119886384	0.00023259109190728323
model.4	2	class	vest	380	93	0.0007232134539115367	0.0006896584928995919	0.8710526315789474	0.0005481940244861842	0.0004447391956865265	0.0006519307220831796
model.6	1	class	helmet	485	137	0.0009195566398764168	0.0008392776786998457	0.777319587628866	0.00033208884098750687	0.000202702109984381	0.0004624230152850791
model.6	1	class	person	498	137	0.000477164205190068	0.0003979488234733264	0.8554216867469879	0.0001851070305141415	0.00012605551828943847	0.00024238999300705424
model.6	1	class	vest	380	93	0.000978326652354858	0.000870954200784313	0.8394736842105263	0.00039534123475714933	0.00026361285156730656	0.000539879695281313
model.6	2	class	helmet	485	137	0.0007051855173113227	0.0006880884976518953	0.7360824742268042	0.00012507765091527336	-4.637246163245167e-06	0.0002546117383993596
model.6	2	class	person	498	137	0.00027606185055569963	0.0002446866445693363	0.6887550200803213	-3.439580949947249e-05	-9.933162396319279e-05	2.971094678545244e-05
model.6	2	class	vest	380	93	0.0006198162750637524	0.0005876470927916322	0.7	-1.0163547870826225e-05	-0.00015253383321589545	0.00014265080352241825
model.2	1	size	large	373	116	0.0007928702736679891	0.0006007745870952874	0.8203753351206434	0.0007452208529435029	0.0006097319255015003	0.00088569781236326
model.2	1	size	medium	302	88	0.00045891964537994877	0.00036005941979422307	0.7284768211920529	0.0005108901863559019	0.000345834268207079	0.0006759759513588417
model.2	1	size	small	688	41	0.00030279176620815	0.0002775790638767095	0.627906976744186	0.0001853155587084142	6.323592150653862e-06	0.00035934053158693906
model.4	1	size	large	373	116	0.000734485514043745	0.0007062654983061023	0.8659517426273459	0.0006035586877054292	0.0004997720176863987	0.0007082344805770342
model.4	1	size	medium	302	88	0.0010365809689306016	0.0008628513371866653	0.8973509933774835	0.0008363829865315299	0.0006871873293274668	0.0009913418950243536
model.4	1	size	small	688	41	0.001383257935163097	0.001375633001526877	0.9287790697674418	0.0014575104513592195	0.0012201527495187263	0.0017116440323758817
model.4	2	size	large	373	116	0.00019987697955911487	0.00022894899748981956	0.6675603217158177	0.00012062275762850352	4.310149500707271e-05	0.00019933904873125952
model.4	2	size	medium	302	88	0.00035779374644846074	0.0003194027099646668	0.7119205298013245	0.0001206754312880897	-2.374387074849649e-05	0.0002631163822441474
model.4	2	size	small	688	41	0.0009040028062263605	0.0009230990414694773	0.8822674418604651	0.0006831191207491091	0.0004399997218372977	0.0008996360303396826
model.6	1	size	large	373	116	3.5504393190313815e-05	5.993659296121834e-05	0.5898123324396782	2.0700614384979898e-05	-3.16382974476233e-05	7.275492857511635e-05
model.6	1	size	medium	302	88	0.00047225055468365444	0.0004959557702564066	0.8245033112582781	0.00033547530799401225	0.00022079348620892845	0.00044687870906425615
model.6	1	size	small	688	41	0.0013074332358213828	0.0012262738144278584	0.9491279069767442	0.0013045043185684244	0.0011530538562272397	0.0014555441024501111
model.6	2	size	large	373	116	-0.0002505032453380148	-0.0002090185229959296	0.2546916890080429	-0.00024914954619010274	-0.0003106615810797128	-0.00019086659094692932
model.6	2	size	medium	302	88	0.00020226965031700512	0.00025313389952563714	0.6887417218543046	7.305104098681765e-05	-5.0570161506655196e-05	0.00018709912355435035
model.6	2	size	small	688	41	0.0010863026716748543	0.0009945782022698912	0.9636627906976745	0.0010837693537299698	0.0009511133660189852	0.0012131697821505037
