module	recursion	class	n_objects	delta_source_cos_mean	delta_source_cos_median	positive_rate
model.2	1	helmet	485	0.0019639944292835355	0.001973092555999756	1.0
model.2	1	person	498	0.0021564199263791003	0.0021656155586242676	1.0
model.2	1	vest	380	0.0021866076870968466	0.002187877893447876	1.0
model.4	1	helmet	485	0.002261408702614381	0.00226438045501709	1.0
model.4	1	person	498	0.0023725244654230326	0.00237119197845459	1.0
model.4	1	vest	380	0.0022730367748360885	0.0022795796394348145	1.0
model.4	2	helmet	485	0.002224987438044597	0.002186417579650879	1.0
model.4	2	person	498	0.0022370380809508175	0.0022304654121398926	1.0
model.4	2	vest	380	0.002244082720656144	0.0022549331188201904	1.0
model.6	1	helmet	485	0.0026633376927719904	0.0027642250061035156	1.0
model.6	1	person	498	0.002910155010031888	0.0029709041118621826	1.0
model.6	1	vest	380	0.002742731649624674	0.0027749836444854736	1.0
model.6	2	helmet	485	0.002669290844927129	0.0026307106018066406	1.0
model.6	2	person	498	0.0027598629754231156	0.002728581428527832	1.0
model.6	2	vest	380	0.002763007894942635	0.002723217010498047	1.0
