split	model	scope	AP50	AP75	AP80	AP85	AP90	AP50_95
val	YOLOv8n	all	0.8720091640837625	0.45861317352369296	0.26407879054471006	0.11244123938332377	0.030753077560717247	0.47100602413577325
val	YOLOv8n	person	0.9282567852907329	0.6397552389032125	0.44237157459572707	0.2044587477918411	0.06695095980207848	0.5703335762695635
val	YOLOv8n	helmet	0.858941471170013	0.3180922766004416	0.13292008850320808	0.05176349606322933	0.006591153092125171	0.4159056372447691
val	YOLOv8n	vest	0.8288292357905415	0.417992005067425	0.21694470853519499	0.08110147429490094	0.01871711978794811	0.4267788588929872
test	YOLOv8n	all	0.8373835740228197	0.3993094600941815	0.21784227349587906	0.0734864105397433	0.01420899845394179	0.4287519509508993
test	YOLOv8n	person	0.898988348150724	0.5441526979863629	0.3529535894334227	0.14152814298495534	0.03477252457155494	0.5131961129544513
test	YOLOv8n	helmet	0.8229100632572434	0.31324097644639737	0.1372332929905731	0.03222644971676626	0.0035466212734230236	0.3812617632074826
test	YOLOv8n	vest	0.7902523106604922	0.3405347058497842	0.16333993806364136	0.046704638917508305	0.004307849516847404	0.39179797669076405
val	SMFR-YOLO	all	0.8974630154597556	0.4773613809798898	0.2705188565874203	0.11172298343807262	0.03134930455938464	0.4920517360422951
val	SMFR-YOLO	person	0.9419223730799938	0.6548091675878899	0.45885403185314494	0.21190674226273792	0.07363240222323228	0.5842173408567959
val	SMFR-YOLO	helmet	0.8753724020474702	0.36145479461766605	0.14627806025192866	0.04683447578195236	0.0076294841552123245	0.43549463809842887
val	SMFR-YOLO	vest	0.8750942712518026	0.41582018073411336	0.2064244776571874	0.07642773226952758	0.012786027299709304	0.45644322917166064
test	SMFR-YOLO	all	0.8694337562758928	0.40029661576512293	0.21744718379814432	0.08355556594232731	0.016481397493171127	0.44703985330039975
test	SMFR-YOLO	person	0.9041625854707046	0.5497224929007237	0.3423136687161664	0.14658959684498968	0.029656358868831584	0.5197190356831862
test	SMFR-YOLO	helmet	0.8601767493099443	0.2883405660970338	0.12330686271999146	0.042604590382902506	0.003961869401225837	0.4045904544447945
test	SMFR-YOLO	vest	0.8439619340470296	0.3628267882976111	0.18672101995827506	0.06147251059908973	0.01582596420945596	0.4168100697732184
