split	model	scope	AP50_95	APs	APm	APl	ARs	ARm	ARl
val	YOLOv8n	all	0.47100602413577325	0.39959774281156213	0.480108475693017	0.6024196627725396	0.4760010445850527	0.5857916212228138	0.6771186926352171
val	YOLOv8n	person	0.5703335762695635	0.4701072849143663	0.5431637210138567	0.6556254200184939	0.5607142857142857	0.637062937062937	0.7227906976744186
val	YOLOv8n	helmet	0.4159056372447691	0.34135749944528365	0.5011186691393003	0.5934144944473688	0.42247557003257324	0.5743119266055046	0.6681159420289855
val	YOLOv8n	vest	0.4267788588929872	0.38732844407503625	0.3960430369258939	0.5582190738517558	0.4448132780082988	0.546	0.6404494382022471
test	YOLOv8n	all	0.4287519509508993	0.3612285393312982	0.4766086782624671	0.5676099251831351	0.4468595539481615	0.5818703750314623	0.6462011355269781
test	YOLOv8n	person	0.5131961129544513	0.42679119611859995	0.5178050580695334	0.5873631430191627	0.5177215189873418	0.6335766423357664	0.6904040404040404
test	YOLOv8n	helmet	0.3812617632074826	0.31652278698265607	0.4571997141276154	0.6159188966213057	0.4020408163265306	0.5560344827586207	0.6717948717948719
test	YOLOv8n	vest	0.39179797669076405	0.3403716348926386	0.4548212625902526	0.4995477359089366	0.4208163265306122	0.5559999999999999	0.5764044943820225
val	SMFR-YOLO	all	0.4920517360422951	0.43287002674459424	0.48746020016603414	0.5978765687863311	0.5181721692420871	0.5834865379269047	0.6877348965966453
val	SMFR-YOLO	person	0.5842173408567959	0.49240074069351064	0.5557051189269979	0.6597736737644802	0.5957142857142858	0.6440559440559439	0.74
val	SMFR-YOLO	helmet	0.43549463809842887	0.3762165011990729	0.5093904684644334	0.5726469419658038	0.46710097719869703	0.5844036697247706	0.6782608695652174
val	SMFR-YOLO	vest	0.45644322917166064	0.429992838341199	0.3972850131066712	0.5612090906287094	0.49170124481327804	0.522	0.6449438202247191
test	SMFR-YOLO	all	0.44703985330039975	0.3928121815482921	0.50074838077189	0.5594078564155995	0.4736186457705444	0.5940640154375367	0.652947801262408
test	SMFR-YOLO	person	0.5197190356831862	0.4516361142137061	0.529700955681734	0.5823978306107188	0.530379746835443	0.6416058394160584	0.690909090909091
test	SMFR-YOLO	helmet	0.4045904544447945	0.3511216132438367	0.4641951232886171	0.6010977322324338	0.43945578231292515	0.5525862068965518	0.676923076923077
test	SMFR-YOLO	vest	0.4168100697732184	0.37567881718733354	0.5083490633453186	0.494728006403646	0.45102040816326533	0.5879999999999999	0.5910112359550561
