public_id	gt_instances	gt_person	gt_helmet	gt_vest	yolov8n_ap50	smfr_yolo_ap50	paired_delta	valid_pair
itppe_000131	38	13	13	12	0.7778349263497779	0.8436058990514436	0.06577097270166565	YES
itppe_000132	36	13	12	11	0.6519344052631865	0.8236860124935889	0.1717516072304024	YES
itppe_000133	34	13	10	11	0.749241144850271	0.7604444968306354	0.011203351980364373	YES
itppe_000134	38	13	13	12	0.6948563701038949	0.7650574267953111	0.07020105669141619	YES
itppe_000135	37	13	12	12	0.7153029588673153	0.7010462951057012	-0.014256663761614163	YES
itppe_000136	35	12	11	12	0.7600769579220366	0.7813098853745023	0.021232927452465744	YES
itppe_000137	38	13	12	13	0.7826714722754327	0.8168766876687669	0.03420521539333421	YES
itppe_000138	38	13	12	13	0.8170979405632871	0.8312515866971313	0.014153646133844178	YES
itppe_000139	33	11	11	11	0.8583006514937208	0.9042904290429042	0.04598977754918343	YES
itppe_000140	36	12	12	12	0.9258211535439258	0.9352506679239353	0.009429514380009496	YES
itppe_000141	36	12	12	12	0.8262654836912263	0.9312008123889312	0.10493532869770483	YES
itppe_000142	33	11	11	11	0.8084236995128085	0.9167378276289168	0.1083141281161083	YES
itppe_000143	39	13	13	13	0.7793914006785294	0.8621522866572371	0.08276088597870768	YES
itppe_000144	39	13	13	13	0.8147925506836399	0.7918962948926471	-0.022896255790992748	YES
itppe_000145	34	12	11	11	0.812156215621562	0.7846356064177846	-0.027520609203777413	YES
itppe_000146	37	13	11	13	0.9401225836869402	0.9735973597359736	0.03347477604903337	YES
itppe_000147	30	12	8	10	0.8320040337367071	0.9134450368113733	0.08144100307466628	YES
itppe_000148	33	11	10	12	0.8139656070870245	0.8894389438943895	0.07547333680736501	YES
itppe_000149	33	11	11	11	0.925370478224293	0.9189731998409925	-0.006397278383300509	YES
itppe_000150	38	13	12	13	0.8832190911398833	0.8817381738173818	-0.0014809173225014405	YES
rf100_v2_001117	2	1	1	0	0.9999999999999999	0.9999999999999999	0.0	YES
rf100_v2_001118	9	3	3	3	1.0	1.0	0.0	YES
rf100_v2_001119	8	4	0	4	0.9752475247524752	1.0	0.024752475247524774	YES
rf100_v2_001120	6	2	2	2	1.0	1.0	0.0	YES
rf100_v2_001121	3	1	1	1	0.6666666666666665	0.6666666666666665	0.0	YES
rf100_v2_001122	5	5	0	0	0.4151343705799153	0.6787678767876787	0.2636335062077634	YES
rf100_v2_001123	12	4	4	4	1.0	1.0	0.0	YES
rf100_v2_001124	6	2	2	2	1.0	1.0	0.0	YES
rf100_v2_001125	3	1	1	1	0.9999999999999998	0.9999999999999998	0.0	YES
rf100_v2_001126	2	1	1	0	0.9999999999999999	0.9999999999999999	0.0	YES
rf100_v2_001127	3	1	2	0	1.0	1.0	0.0	YES
rf100_v2_001128	9	4	2	3	0.7475247524752475	0.8712871287128713	0.12376237623762376	YES
rf100_v2_001129	2	1	1	0	0.9999999999999999	0.9999999999999999	0.0	YES
rf100_v2_001130	2	1	1	0	0.9999999999999999	0.9999999999999999	0.0	YES
rf100_v2_001131	4	4	0	0	0.5	0.4964896489648963	-0.0035103510351037204	YES
rf100_v2_001132	3	1	1	1	0.9999999999999998	0.9999999999999998	0.0	YES
rf100_v2_001133	7	4	3	0	0.6460396039603961	0.6497899789978998	0.0037503750375037503	YES
rf100_v2_001134	6	2	2	2	1.0	1.0	0.0	YES
rf100_v2_001135	4	2	2	0	1.0	1.0	0.0	YES
rf100_v2_001136	3	1	1	1	0.9999999999999998	0.9999999999999998	0.0	YES
rf100_v2_001137	6	2	2	2	0.834983498349835	0.8821310702498821	0.04714757190004715	YES
rf100_v2_001138	2	1	1	0	0.9999999999999999	0.9999999999999999	0.0	YES
rf100_v2_001139	9	3	3	3	0.955115511551155	1.0	0.04488448844884496	YES
rf100_v2_001140	2	1	1	0	0.9999999999999999	0.9999999999999999	0.0	YES
rf100_v2_001141	3	1	1	1	0.9999999999999998	0.9999999999999998	0.0	YES
rf100_v2_001142	6	3	3	0	1.0	1.0	0.0	YES
rf100_v2_001143	18	6	6	6	0.9070407040704069	1.0	0.09295929592959307	YES
rf100_v2_001144	7	4	2	1	1.0	1.0	0.0	YES
rf100_v2_001145	3	1	1	1	0.9999999999999998	0.9999999999999998	0.0	YES
rf100_v2_001146	9	3	3	3	1.0	1.0	0.0	YES
rf100_v2_001147	3	1	1	1	0.361111111111111	0.611111111111111	0.25000000000000006	YES
rf100_v2_001148	6	2	2	2	1.0	1.0	0.0	YES
rf100_v2_001149	12	4	4	4	0.9724972497249725	1.0	0.027502750275027465	YES
rf100_v2_001150	3	1	1	1	0.9999999999999998	0.7333333333333333	-0.2666666666666665	YES
rf100_v2_001151	6	2	2	2	1.0	1.0	0.0	YES
rf100_v2_001152	20	11	9	0	0.6783222965153659	0.6857387661843107	0.007416469668944825	YES
rf100_v2_001153	3	1	1	1	0.9999999999999998	0.9999999999999998	0.0	YES
rf100_v2_001154	11	4	4	3	0.7758775877587759	0.92008486562942	0.14420727787064413	YES
rf100_v2_001155	2	1	1	0	0.9999999999999999	0.9999999999999999	0.0	YES
rf100_v2_001156	2	1	1	0	0.9999999999999999	0.9999999999999999	0.0	YES
rf100_v2_001157	9	3	3	3	0.971947194719472	0.9438943894389439	-0.028052805280528115	YES
rf100_v2_001158	3	1	1	1	0.9999999999999998	0.9999999999999998	0.0	YES
rf100_v2_001159	6	2	2	2	1.0	1.0	0.0	YES
rf100_v2_001160	2	1	1	0	0.9999999999999999	0.9999999999999999	0.0	YES
rf100_v2_001161	2	1	1	0	0.9999999999999999	0.9999999999999999	0.0	YES
rf100_v2_001162	3	1	1	1	0.9999999999999998	0.9999999999999998	0.0	YES
rf100_v2_001163	2	1	1	0	0.9999999999999999	0.9999999999999999	0.0	YES
rf100_v2_001164	9	3	3	3	1.0	0.955115511551155	-0.04488448844884496	YES
rf100_v2_001165	7	4	3	0	1.0	1.0	0.0	YES
rf100_v2_001166	3	1	1	1	0.9999999999999998	0.9999999999999998	0.0	YES
